#{"t_start": 1582659054.1616294, "env_id": "nailbot-v0"}
r,l,t
12.350602,11,265.398499
11.259484,11,266.464856
11.996407,11,267.764256
13.015218,11,268.792967
13.471014,11,269.754941
16.474314,11,270.775873
18.548871,11,271.734447
15.182021,11,272.709368
11.123087,11,273.693199
17.006285,11,274.678586
12.902224,11,275.592375
12.287404,11,276.521377
16.543962,11,277.503303
11.750247,11,278.444746
14.263237,11,279.3809
10.72419,11,280.32218
12.893101,11,281.296496
11.747345,11,282.247313
11.980719,11,283.035505
13.028572,11,283.998306
11.18753,11,285.051645
17.050744,11,286.131276
21.331314,11,287.202037
12.75418,11,288.248528
14.062673,11,289.193203
11.047105,11,290.043599
11.90347,11,291.129887
29.117561,11,292.098856
10.685753,11,293.080732
12.391147,11,294.075361
11.225382,11,295.003665
13.393203,11,295.954096
17.965546,11,296.932477
12.850815,11,297.912331
14.095458,11,298.847224
29.459589,11,299.872236
11.204993,11,300.872123
12.955804,11,301.859507
21.585392,11,302.853892
11.552769,11,303.84909
12.989604,11,304.938842
12.701306,11,305.766712
12.44553,11,306.80256
13.431958,11,307.894239
11.172246,11,308.951262
15.872567,11,310.03659
12.082984,11,311.043859
13.126286,11,312.032228
12.151155,11,312.892358
12.024691,11,313.962386
11.976908,11,315.034976
13.116986,11,316.144152
12.372213,11,317.203079
18.632786,11,318.205663
10.759947,11,319.132818
11.506073,11,320.181754
11.153411,11,321.108357
14.902185,11,322.13037
11.130746,11,323.159004
17.290535,11,324.188657
11.22082,11,325.108021
13.630405,11,326.051324
12.944651,11,327.013865
11.321399,11,327.840409
21.372548,11,328.785561
11.52088,11,329.719791
11.834185,11,330.646652
12.542539,11,331.5607
11.265492,11,332.487082
13.08725,11,333.339106
13.691929,11,334.304476
14.179549,11,335.239767
11.284832,11,336.445677
11.759049,11,337.4163
16.96918,11,338.344334
11.662857,11,339.191689
11.715528,11,340.156082
12.69529,11,341.096105
17.109852,11,342.144182
23.117401,11,343.094293
13.609477,11,344.124598
11.201528,11,345.067134
21.349891,11,346.219505
11.804299,11,347.37117
15.941726,11,348.342062
11.827595,11,349.383341
12.171542,11,350.459916
14.708355,11,351.482219
11.045089,11,352.428067
13.400945,11,353.404159
14.748409,11,354.39689
21.680585,11,355.376265
12.839843,11,356.311004
10.96627,11,357.273866
12.835014,11,358.234454
11.54114,11,359.350017
11.989167,11,360.254588
15.989113,11,361.263572
11.798094,11,362.213629
17.805539,11,363.196186
13.53577,11,364.124641
11.91553,11,364.972035
11.253973,11,365.891495
13.06992,11,366.769594
13.043675,11,367.73019
13.43489,11,368.711314
12.980375,11,369.626788
10.802381,11,370.562516
21.805504,11,371.550854
12.185343,11,372.478974
11.87548,11,373.431034
11.039625,11,374.27899
11.059306,11,375.255976
12.335882,11,376.233917
10.772488,11,377.173222
17.423112,11,378.168048
10.719913,11,379.1187
10.804724,11,380.03644
11.817066,11,381.12144
13.159124,11,382.234987
11.189674,11,383.166516
11.88718,11,384.186919
12.319192,11,385.134153
11.408801,11,386.05329
14.770794,11,387.052291
12.200449,11,387.980938
12.402319,11,388.829365
15.328278,11,389.750546
11.937281,11,390.820046
13.2637,11,391.855819
19.052489,11,392.898769
18.38041,11,393.984427
14.219288,11,394.945586
10.895998,11,395.875833
11.355373,11,396.862217
21.296104,11,397.853229
11.820742,11,398.846665
10.620381,11,399.917729
13.186815,11,400.928018
11.170575,11,401.876478
11.129897,11,402.852462
12.25024,11,403.766948
13.959304,11,404.852744
11.039543,11,405.783528
12.441418,11,406.762474
12.944843,11,407.736848
14.810762,11,408.687128
29.710013,11,409.684739
31.220257,11,410.738132
22.629799,11,411.698523
12.646679,11,412.58055
21.866027,11,413.525742
30.214209,11,414.524468
11.683799,11,415.469616
12.569431,11,416.428017
12.315286,11,417.389668
12.557003,11,418.381571
12.199445,11,419.331943
27.347848,11,420.410932
12.655139,11,421.36963
18.349499,11,422.344991
11.843741,11,423.297428
12.600557,11,424.241428
11.644964,11,425.197787
10.738742,11,426.224289
16.303704,11,427.363832
15.013102,11,428.33944
11.432533,11,429.252164
18.920158,11,430.280699
13.771031,11,431.273753
17.059411,11,432.240279
22.732974,11,433.135668
12.902066,11,434.04704
13.302552,11,435.004453
23.914935,11,436.003642
11.378724,11,436.898146
11.73575,11,437.846647
14.282973,11,438.832402
10.68769,11,439.752508
21.07931,11,440.758355
11.335859,11,441.729138
12.768682,11,442.70275
19.287512,11,443.783885
11.791628,11,444.850447
11.823138,11,445.968085
11.036229,11,447.072885
21.877513,11,448.064922
14.109723,11,449.057822
13.05663,11,450.155928
10.991493,11,451.10523
17.11495,11,452.102253
13.01818,11,453.051063
12.119452,11,453.9919
14.112189,11,454.977291
22.131412,11,455.924929
14.47935,11,456.857873
13.5201,11,457.832339
15.686382,11,458.848039
11.934326,11,459.836682
11.203974,11,460.773876
19.474548,11,461.831293
13.945012,11,462.845306
13.117226,11,463.810758
14.244327,11,464.765831
17.402908,11,465.70435
13.552592,11,466.729786
23.309065,11,467.763486
13.434617,11,468.835188
14.903104,11,469.972935
12.7386,11,470.906291
12.956569,11,471.863416
11.784089,11,472.81614
17.594041,11,473.953698
13.487398,11,475.058854
15.00156,11,475.999696
13.02292,11,476.940261
12.099084,11,477.827268
16.778202,11,478.80172
12.797699,11,479.742111
16.791391,11,480.659112
13.191834,11,481.732729
23.105645,11,482.750127
15.981525,11,483.667814
13.146264,11,484.578884
12.099336,11,485.499471
24.234525,11,486.512846
